id,name,category,stock_quantity,purchase_price,selling_price,min_stock
1315,011,,50000,0.75,0.75,0
1164,012,,1553600,0.75,0.75,0
650,05102021,,52,280.0,280.0,0
1216,073,,400400,0.75,0.75,0
1215,074,,352800,0.75,0.75,0
701,1000#  M BRANZE,,353,700.0,700.0,0
702,1000# M ARGENT,,100,700.0,700.0,0
1337,103107,,1706,0.0,0.0,0
1336,103108,,732,0.0,0.0,0
1333,106798,,618,0.0,0.0,0
1335,106799,,634,0.0,0.0,0
1334,106800,,620,0.0,0.0,0
1332,106801,,611,0.0,0.0,0
1340,107088,,420,0.0,0.0,0
1345,107089,,409,0.0,0.0,0
1342,107090,,422,0.0,0.0,0
1339,107091,,429,0.0,0.0,0
1341,107092,,420,0.0,0.0,0
1344,107093,,429,0.0,0.0,0
1343,107094,,428,0.0,0.0,0
1346,107095,,421,0.0,0.0,0
782,11#,,350,2800.0,2800.0,0
1211,111,,250400,0.75,0.75,0
1331,1200 ARGENT,,43,800.0,800.0,0
703,1200# M ARGENT,,80,800.0,800.0,0
704,1400# M ARGENT,,70,700.0,700.0,0
692,15# ARGENT,,109,0.0,0.0,0
790,15# BRANZE,,50,0.0,0.0,0
1338,150106,,1286,0.0,0.0,0
705,1600# ARGENT,,100,750.0,750.0,0
691,17# ARGENT,,180,0.0,0.0,0
789,17# BRANZE,,70,0.0,0.0,0
785,25,,20,0.0,0.0,0
706,2800# BRANZE,,95,1750.0,1750.0,0
707,2800# M ARGENT,,220,1750.0,1750.0,0
708,2800# NM ARGENT,,55,2200.0,2200.0,0
783,2800# NM BRANZE,,50,0.0,0.0,0
784,2800# NM DOREE,,50,0.0,0.0,0
1220,3 X L,,40,0.0,0.0,0
709,300#  M  DORE,,147,800.0,800.0,0
710,300#  M ARGENT,,198,800.0,800.0,0
567,32#,,51,1100.0,1100.0,0
568,36#,,41,1300.0,1300.0,0
673,38*38,,9,45000.0,45000.0,0
1070,3CM PLY 1/2,,20938,0.85,0.85,0
1048,3XL,,173,0.0,0.0,0
1247,3XL 2.5,,220,350.0,350.0,0
1241,3XL 3,,1155,0.0,0.0,0
569,40#,,26,1600.0,1600.0,0
674,40*60,,12,58000.0,58000.0,0
711,4000# M ARGENT,,215,700.0,700.0,0
